CID,Capítulo,Descrição,Codigo
T880,"Lesões, envenenamentos e algumas outras consequências de causas externas",Infecção subseqüente à imunização,T880 - Infecção subseqüente à imunização
T881,"Lesões, envenenamentos e algumas outras consequências de causas externas",Outras complicações subseqüentes à imunização não classificadas em outra parte,T881 - Outras complicações subseqüentes à imunização não classificadas em outra parte
T882,"Lesões, envenenamentos e algumas outras consequências de causas externas",Choque devido à anestesia,T882 - Choque devido à anestesia
T883,"Lesões, envenenamentos e algumas outras consequências de causas externas",Hipertermia maligna devida à anestesia,T883 - Hipertermia maligna devida à anestesia
T884,"Lesões, envenenamentos e algumas outras consequências de causas externas",Entubação falha ou difícil,T884 - Entubação falha ou difícil
T885,"Lesões, envenenamentos e algumas outras consequências de causas externas",Outras complicações de anestesia,T885 - Outras complicações de anestesia
T886,"Lesões, envenenamentos e algumas outras consequências de causas externas",Choque anafilático devido a efeito adverso de droga ou medicamento corretos e administrados de maneira apropriada,T886 - Choque anafilático devido a efeito adverso de droga ou medicamento corretos e administrados de maneira apropriada
T887,"Lesões, envenenamentos e algumas outras consequências de causas externas",Efeito adverso não especificado de droga ou medicamento,T887 - Efeito adverso não especificado de droga ou medicamento
T888,"Lesões, envenenamentos e algumas outras consequências de causas externas",Outras complicações de cuidados médicos e cirúrgicos especificados não classificados em outra parte,T888 - Outras complicações de cuidados médicos e cirúrgicos especificados não classificados em outra parte
T889,"Lesões, envenenamentos e algumas outras consequências de causas externas",Complicação não especificada de cuidados médicos e cirúrgicos,T889 - Complicação não especificada de cuidados médicos e cirúrgicos
T90,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de traumatismo da cabeça,T90 - Seqüelas de traumatismo da cabeça
T900,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de traumatismo superficial da cabeça,T900 - Seqüelas de traumatismo superficial da cabeça
T901,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de ferimento da cabeça,T901 - Seqüelas de ferimento da cabeça
T902,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de fratura de crânio e de ossos da face,T902 - Seqüelas de fratura de crânio e de ossos da face
T903,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de traumatismo de nervos cranianos,T903 - Seqüelas de traumatismo de nervos cranianos
T904,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de traumatismo do olho e da órbita,T904 - Seqüelas de traumatismo do olho e da órbita
T905,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de traumatismo intracraniano,T905 - Seqüelas de traumatismo intracraniano
T908,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de outros traumatismos especificados da cabeça,T908 - Seqüelas de outros traumatismos especificados da cabeça
T909,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de traumatismo não especificado da cabeça,T909 - Seqüelas de traumatismo não especificado da cabeça
T91,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de traumatismos do pescoço e do tronco,T91 - Seqüelas de traumatismos do pescoço e do tronco
T910,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de traumatismo superficial e ferimento do pescoço e do tronco,T910 - Seqüelas de traumatismo superficial e ferimento do pescoço e do tronco
T911,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de fratura de coluna vertebral,T911 - Seqüelas de fratura de coluna vertebral
T912,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de outra fratura do tórax e da pelve,T912 - Seqüelas de outra fratura do tórax e da pelve
T913,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de traumatismo de medula espinhal,T913 - Seqüelas de traumatismo de medula espinhal
T914,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de traumatismo de órgãos intratorácicos,T914 - Seqüelas de traumatismo de órgãos intratorácicos
T915,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de traumatismo de órgãos intra,T915 - Seqüelas de traumatismo de órgãos intra
T918,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de outros traumatismos especificados do pescoço e do tronco,T918 - Seqüelas de outros traumatismos especificados do pescoço e do tronco
T919,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de traumatismo não especificado do pescoço e do tronco,T919 - Seqüelas de traumatismo não especificado do pescoço e do tronco
T92,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de traumatismos do membro superior,T92 - Seqüelas de traumatismos do membro superior
T920,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de ferimento do membro superior,T920 - Seqüelas de ferimento do membro superior
T921,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de fratura do braço,T921 - Seqüelas de fratura do braço
T922,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de fratura ao nível do punho e da mão,T922 - Seqüelas de fratura ao nível do punho e da mão
T923,"Lesões, envenenamentos e algumas outras consequências de causas externas","Seqüelas de luxação, entorse e distensão do membro superior","T923 - Seqüelas de luxação, entorse e distensão do membro superior"
T924,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de traumatismo de nervo de membro superior,T924 - Seqüelas de traumatismo de nervo de membro superior
T925,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de traumatismo de músculo e tendão do membro superior,T925 - Seqüelas de traumatismo de músculo e tendão do membro superior
T926,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de esmagamento e amputação traumática do membro superior,T926 - Seqüelas de esmagamento e amputação traumática do membro superior
T928,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de outros traumatismos especificados do membro superior,T928 - Seqüelas de outros traumatismos especificados do membro superior
T929,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de traumatismo não especificado do membro superior,T929 - Seqüelas de traumatismo não especificado do membro superior
T93,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de traumatismos do membro inferior,T93 - Seqüelas de traumatismos do membro inferior
T930,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de ferimento do membro inferior,T930 - Seqüelas de ferimento do membro inferior
T931,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de fratura do fêmur,T931 - Seqüelas de fratura do fêmur
T932,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de outras fraturas do membro inferior,T932 - Seqüelas de outras fraturas do membro inferior
T933,"Lesões, envenenamentos e algumas outras consequências de causas externas","Seqüelas de luxação, entorse e distensão do membro inferior","T933 - Seqüelas de luxação, entorse e distensão do membro inferior"
T934,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de traumatismo de nervo do membro inferior,T934 - Seqüelas de traumatismo de nervo do membro inferior
T935,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de traumatismo de músculo e tendão do membro inferior,T935 - Seqüelas de traumatismo de músculo e tendão do membro inferior
T936,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de esmagamento e amputação traumática do membro inferior,T936 - Seqüelas de esmagamento e amputação traumática do membro inferior
T938,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de outros traumatismos especificados do membro inferior,T938 - Seqüelas de outros traumatismos especificados do membro inferior
T939,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de traumatismo não especificado do membro inferior,T939 - Seqüelas de traumatismo não especificado do membro inferior
T94,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de traumatismos envolvendo múltiplas regiões do corpo e as não especificadas,T94 - Seqüelas de traumatismos envolvendo múltiplas regiões do corpo e as não especificadas
T940,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de traumatismos envolvendo regiões múltiplas do corpo,T940 - Seqüelas de traumatismos envolvendo regiões múltiplas do corpo
T941,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de traumatismos não especificados por regiões do corpo,T941 - Seqüelas de traumatismos não especificados por regiões do corpo
T95,"Lesões, envenenamentos e algumas outras consequências de causas externas","Seqüelas de queimaduras, corrosões e geladuras","T95 - Seqüelas de queimaduras, corrosões e geladuras"
T950,"Lesões, envenenamentos e algumas outras consequências de causas externas","Seqüelas de queimadura, corrosão e geladura da cabeça e pescoço","T950 - Seqüelas de queimadura, corrosão e geladura da cabeça e pescoço"
T951,"Lesões, envenenamentos e algumas outras consequências de causas externas","Seqüelas de queimadura, corrosão e geladura do tronco","T951 - Seqüelas de queimadura, corrosão e geladura do tronco"
T952,"Lesões, envenenamentos e algumas outras consequências de causas externas","Seqüelas de queimadura, corrosão e geladura do membro superior","T952 - Seqüelas de queimadura, corrosão e geladura do membro superior"
T953,"Lesões, envenenamentos e algumas outras consequências de causas externas","Seqüelas de queimadura, corrosão e geladura do membro inferior","T953 - Seqüelas de queimadura, corrosão e geladura do membro inferior"
T954,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de queimadura e corrosão classificável só de acordo com a extensão da área corporal envolvida,T954 - Seqüelas de queimadura e corrosão classificável só de acordo com a extensão da área corporal envolvida
T958,"Lesões, envenenamentos e algumas outras consequências de causas externas","Seqüelas de outra queimadura, corrosões e geladuras especificadas","T958 - Seqüelas de outra queimadura, corrosões e geladuras especificadas"
T959,"Lesões, envenenamentos e algumas outras consequências de causas externas","Seqüelas de queimadura, corrosão e geladura de local não especificado","T959 - Seqüelas de queimadura, corrosão e geladura de local não especificado"
T96,"Lesões, envenenamentos e algumas outras consequências de causas externas","Seqüelas de intoxicação por drogas, medicamentos e substâncias biológicas","T96 - Seqüelas de intoxicação por drogas, medicamentos e substâncias biológicas"
T97,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de efeitos tóxicos de substâncias de origem predominantemente não,T97 - Seqüelas de efeitos tóxicos de substâncias de origem predominantemente não
T98,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de outros efeitos de causas externas e dos não especificados,T98 - Seqüelas de outros efeitos de causas externas e dos não especificados
T980,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas dos efeitos da penetração de corpo estranho através de orifício natural,T980 - Seqüelas dos efeitos da penetração de corpo estranho através de orifício natural
T981,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas em outros efeitos de causas externas e os não especificados,T981 - Seqüelas em outros efeitos de causas externas e os não especificados
T982,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de algumas complicações precoces de traumatismos,T982 - Seqüelas de algumas complicações precoces de traumatismos
T983,"Lesões, envenenamentos e algumas outras consequências de causas externas",Seqüelas de complicações dos cuidados médicos e cirúrgicos não classificados em outra parte,T983 - Seqüelas de complicações dos cuidados médicos e cirúrgicos não classificados em outra parte
U04,Códigos para propósitos especiais,Síndrome respiratória aguda grave [severe acute respiratory syndrome SARS],U04 - Síndrome respiratória aguda grave [severe acute respiratory syndrome SARS]
U049,Códigos para propósitos especiais,"Síndrome respiratória aguda grave [Severe acute respiratory syndrome) [SARS], não especificada","U049 - Síndrome respiratória aguda grave [Severe acute respiratory syndrome) [SARS], não especificada"
U06,Códigos para propósitos especiais,Doença pelo Zika virus,U06 - Doença pelo Zika virus
U069,Códigos para propósitos especiais,"Doença pelo Zika virus, não especificada","U069 - Doença pelo Zika virus, não especificada"
U071,Códigos para propósitos especiais,Diagnóstico de COVID,U071 - Diagnóstico de COVID
U072,Códigos para propósitos especiais,Evidências Clínicas ou Epidemiológicas para diagnóstico de COVID,U072 - Evidências Clínicas ou Epidemiológicas para diagnóstico de COVID
U80,Códigos para propósitos especiais,Agente resistente à penicilina e antibióticos relacionados,U80 - Agente resistente à penicilina e antibióticos relacionados
U800,Códigos para propósitos especiais,Agente resistente à penicilina,U800 - Agente resistente à penicilina
U801,Códigos para propósitos especiais,Agente resistente à meticilina,U801 - Agente resistente à meticilina
U808,Códigos para propósitos especiais,Agente resistente a outro antibiótico relacionado à penicilina,U808 - Agente resistente a outro antibiótico relacionado à penicilina
U81,Códigos para propósitos especiais,Agente resistente à vancomicina e antibióticos relacionados,U81 - Agente resistente à vancomicina e antibióticos relacionados
U810,Códigos para propósitos especiais,Agente resistente à vancomicina,U810 - Agente resistente à vancomicina
U818,Códigos para propósitos especiais,Agente resistente a outros antibióticos relacionado à vancomicina,U818 - Agente resistente a outros antibióticos relacionado à vancomicina
U88,Códigos para propósitos especiais,Agente resistente a múltiplos antibióticos,U88 - Agente resistente a múltiplos antibióticos
U89,Códigos para propósitos especiais,Agente resistente a outros antibióticos e a antibióticos não especificados,U89 - Agente resistente a outros antibióticos e a antibióticos não especificados
U898,Códigos para propósitos especiais,Agente resistente a outro antibiótico especificado único,U898 - Agente resistente a outro antibiótico especificado único
U899,Códigos para propósitos especiais,Agente resistente a antibiótico não especificado,U899 - Agente resistente a antibiótico não especificado
U99,Códigos para propósitos especiais,CID 10ª Revisão não disponível,U99 - CID 10ª Revisão não disponível
V01,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em colisão com um veículo a pedal,V01 - Pedestre traumatizado em colisão com um veículo a pedal
V010,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em colisão com um veículo a pedal,V010 - Pedestre traumatizado em colisão com um veículo a pedal
V011,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em colisão com um veículo a pedal,V011 - Pedestre traumatizado em colisão com um veículo a pedal
V019,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em colisão com um veículo a pedal,V019 - Pedestre traumatizado em colisão com um veículo a pedal
V02,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em colisão com um veículo a motor de duas ou três rodas,V02 - Pedestre traumatizado em colisão com um veículo a motor de duas ou três rodas
V020,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em colisão com um veículo a motor de duas ou três rodas,V020 - Pedestre traumatizado em colisão com um veículo a motor de duas ou três rodas
V021,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em colisão com um veículo a motor de duas ou três rodas,V021 - Pedestre traumatizado em colisão com um veículo a motor de duas ou três rodas
V029,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em colisão com um veículo a motor de duas ou três rodas,V029 - Pedestre traumatizado em colisão com um veículo a motor de duas ou três rodas
V03,Causas externas de morbidade e de mortalidade,"Pedestre traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete","V03 - Pedestre traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
V030,Causas externas de morbidade e de mortalidade,"Pedestre traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete","V030 - Pedestre traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
V031,Causas externas de morbidade e de mortalidade,"Pedestre traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete","V031 - Pedestre traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
V039,Causas externas de morbidade e de mortalidade,"Pedestre traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete","V039 - Pedestre traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
V04,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em colisão com um veículo de transporte pesado ou com um ônibus,V04 - Pedestre traumatizado em colisão com um veículo de transporte pesado ou com um ônibus
V040,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em colisão com um veículo de transporte pesado ou com um ônibus,V040 - Pedestre traumatizado em colisão com um veículo de transporte pesado ou com um ônibus
V041,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em colisão com um veículo de transporte pesado ou com um ônibus,V041 - Pedestre traumatizado em colisão com um veículo de transporte pesado ou com um ônibus
V049,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em colisão com um veículo de transporte pesado ou com um ônibus,V049 - Pedestre traumatizado em colisão com um veículo de transporte pesado ou com um ônibus
V05,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em colisão com trem [comboio] ou um veículo ferroviário,V05 - Pedestre traumatizado em colisão com trem [comboio] ou um veículo ferroviário
V050,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em colisão com trem [comboio] ou um veículo ferroviário,V050 - Pedestre traumatizado em colisão com trem [comboio] ou um veículo ferroviário
V051,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em colisão com trem [comboio] ou um veículo ferroviário,V051 - Pedestre traumatizado em colisão com trem [comboio] ou um veículo ferroviário
V059,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em colisão com trem [comboio] ou um veículo ferroviário,V059 - Pedestre traumatizado em colisão com trem [comboio] ou um veículo ferroviário
V06,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em colisão com outro veículo não,V06 - Pedestre traumatizado em colisão com outro veículo não
V060,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em colisão com outro veículo não,V060 - Pedestre traumatizado em colisão com outro veículo não
V061,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em colisão com outro veículo não,V061 - Pedestre traumatizado em colisão com outro veículo não
V069,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em colisão com outro veículo não,V069 - Pedestre traumatizado em colisão com outro veículo não
V09,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados,V09 - Pedestre traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
V090,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em um acidente não,V090 - Pedestre traumatizado em um acidente não
V091,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em um acidente não,V091 - Pedestre traumatizado em um acidente não
V092,Causas externas de morbidade e de mortalidade,"Pedestre traumatizado em um acidente de trânsito envolvendo outros veículos e os não especificados, a motor","V092 - Pedestre traumatizado em um acidente de trânsito envolvendo outros veículos e os não especificados, a motor"
V093,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em um acidente de trânsito não especificado,V093 - Pedestre traumatizado em um acidente de trânsito não especificado
V099,Causas externas de morbidade e de mortalidade,Pedestre traumatizado em um acidente de transporte não especificado,V099 - Pedestre traumatizado em um acidente de transporte não especificado
V10,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um pedestre ou um animal,V10 - Ciclista traumatizado em colisão com um pedestre ou um animal
V100,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um pedestre ou um animal,V100 - Ciclista traumatizado em colisão com um pedestre ou um animal
V101,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um pedestre ou um animal,V101 - Ciclista traumatizado em colisão com um pedestre ou um animal
V102,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um pedestre ou um animal,V102 - Ciclista traumatizado em colisão com um pedestre ou um animal
V103,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um pedestre ou um animal,V103 - Ciclista traumatizado em colisão com um pedestre ou um animal
V104,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um pedestre ou um animal,V104 - Ciclista traumatizado em colisão com um pedestre ou um animal
V105,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um pedestre ou um animal,V105 - Ciclista traumatizado em colisão com um pedestre ou um animal
V109,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um pedestre ou um animal,V109 - Ciclista traumatizado em colisão com um pedestre ou um animal
V11,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com outro veículo a pedal,V11 - Ciclista traumatizado em colisão com outro veículo a pedal
V110,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com outro veículo a pedal,V110 - Ciclista traumatizado em colisão com outro veículo a pedal
V111,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com outro veículo a pedal,V111 - Ciclista traumatizado em colisão com outro veículo a pedal
V112,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com outro veículo a pedal,V112 - Ciclista traumatizado em colisão com outro veículo a pedal
V113,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com outro veículo a pedal,V113 - Ciclista traumatizado em colisão com outro veículo a pedal
V114,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com outro veículo a pedal,V114 - Ciclista traumatizado em colisão com outro veículo a pedal
V115,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com outro veículo a pedal,V115 - Ciclista traumatizado em colisão com outro veículo a pedal
V119,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com outro veículo a pedal,V119 - Ciclista traumatizado em colisão com outro veículo a pedal
V12,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas,V12 - Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas
V120,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas,V120 - Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas
V121,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas,V121 - Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas
V122,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas,V122 - Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas
V123,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas,V123 - Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas
V124,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas,V124 - Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas
V125,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas,V125 - Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas
V129,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas,V129 - Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas
V13,Causas externas de morbidade e de mortalidade,"Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete","V13 - Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete"
V130,Causas externas de morbidade e de mortalidade,"Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete","V130 - Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete"
V131,Causas externas de morbidade e de mortalidade,"Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete","V131 - Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete"
V132,Causas externas de morbidade e de mortalidade,"Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete","V132 - Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete"
V133,Causas externas de morbidade e de mortalidade,"Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete","V133 - Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete"
V134,Causas externas de morbidade e de mortalidade,"Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete","V134 - Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete"
V135,Causas externas de morbidade e de mortalidade,"Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete","V135 - Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete"
V139,Causas externas de morbidade e de mortalidade,"Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete","V139 - Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete"
V14,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus,V14 - Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus
V140,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus,V140 - Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus
V141,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus,V141 - Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus
V142,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus,V142 - Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus
V143,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus,V143 - Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus
V144,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus,V144 - Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus
V145,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus,V145 - Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus
V149,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus,V149 - Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus
V15,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um trem ou um veículo ferroviário,V15 - Ciclista traumatizado em colisão com um trem ou um veículo ferroviário
V150,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um trem ou um veículo ferroviário,V150 - Ciclista traumatizado em colisão com um trem ou um veículo ferroviário
V151,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um trem ou um veículo ferroviário,V151 - Ciclista traumatizado em colisão com um trem ou um veículo ferroviário
V152,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um trem ou um veículo ferroviário,V152 - Ciclista traumatizado em colisão com um trem ou um veículo ferroviário
V153,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um trem ou um veículo ferroviário,V153 - Ciclista traumatizado em colisão com um trem ou um veículo ferroviário
V154,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um trem ou um veículo ferroviário,V154 - Ciclista traumatizado em colisão com um trem ou um veículo ferroviário
V155,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um trem ou um veículo ferroviário,V155 - Ciclista traumatizado em colisão com um trem ou um veículo ferroviário
V159,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um trem ou um veículo ferroviário,V159 - Ciclista traumatizado em colisão com um trem ou um veículo ferroviário
V16,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com outro veículo não,V16 - Ciclista traumatizado em colisão com outro veículo não
V160,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com outro veículo não,V160 - Ciclista traumatizado em colisão com outro veículo não
V161,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com outro veículo não,V161 - Ciclista traumatizado em colisão com outro veículo não
V162,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com outro veículo não,V162 - Ciclista traumatizado em colisão com outro veículo não
V163,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com outro veículo não,V163 - Ciclista traumatizado em colisão com outro veículo não
V164,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com outro veículo não,V164 - Ciclista traumatizado em colisão com outro veículo não
V165,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com outro veículo não,V165 - Ciclista traumatizado em colisão com outro veículo não
V169,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com outro veículo não,V169 - Ciclista traumatizado em colisão com outro veículo não
V17,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um objeto fixo ou parado,V17 - Ciclista traumatizado em colisão com um objeto fixo ou parado
V170,Causas externas de morbidade e de mortalidade,Ciclista traumatizado em colisão com um objeto fixo ou parado,V170 - Ciclista traumatizado em colisão com um objeto fixo ou parado
